omega_j	omega_k	Q_value
1	1	1.723599899586196e-1
1	2	-2.332448468569348e-2
1	3	-8.394980066589001e-3
1	4	6.752543386336817e-5
2	1	-2.332448468569344e-2
2	2	2.459351807081446e-1
2	3	3.597812678290839e-2
2	4	-2.274317431417972e-4
3	1	-8.394980066589012e-3
3	2	3.597812678290838e-2
3	3	8.102677816354473e-2
3	4	-2.531390321585101e-3
4	1	6.752543386336830e-5
4	2	-2.274317431417978e-4
4	3	-2.531390321585101e-3
4	4	1.145176903462163e-4
